Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.568400e-03,0.06,0.02
1.568480e-03,0.06,0.06
1.568560e-03,0.06,0.02
1.568640e-03,0.06,0.06
1.568720e-03,0.06,0.02
1.568800e-03,0.06,0.06
1.568880e-03,0.06,0.02
1.568960e-03,0.06,0.1
1.569040e-03,0.06,0.02
1.569120e-03,0.06,0.06
1.569200e-03,0.06,0.02
1.569280e-03,0.06,0.06
1.569360e-03,0.06,0.02
1.569440e-03,0.06,0.06
1.569520e-03,0.02,0.02
1.569600e-03,0.02,0.06
1.569680e-03,0.02,0.02
1.569760e-03,0.06,0.06
1.569840e-03,0.06,0.02
1.569920e-03,0.06,0.06
1.570000e-03,0.06,0.02
1.570080e-03,0.06,0.06
1.570160e-03,0.06,0.02
1.570240e-03,0.02,0.06
1.570320e-03,0.06,0.02
1.570400e-03,0.02,0.06
1.570480e-03,0.06,0.02
1.570560e-03,0.06,0.06
1.570640e-03,0.02,0.02
1.570720e-03,0.02,0.06
1.570800e-03,0.02,0.02
1.570880e-03,0.06,0.06
1.570960e-03,0.06,0.02
1.571040e-03,0.06,0.1
1.571120e-03,0.06,0.02
1.571200e-03,0.06,0.06
1.571280e-03,0.02,0.02
1.571360e-03,0.02,0.1
1.571440e-03,0.06,0.02
1.571520e-03,0.02,0.06
1.571600e-03,0.06,0.02
1.571680e-03,0.06,0.06
1.571760e-03,0.02,0.02
1.571840e-03,0.06,0.06
1.571920e-03,0.06,0.02
1.572000e-03,0.06,0.06
1.572080e-03,0.06,0.02
1.572160e-03,0.06,0.06
1.572240e-03,0.06,0.02
1.572320e-03,0.06,0.06
1.572400e-03,0.06,0.02
1.572480e-03,0.02,0.06
1.572560e-03,0.02,0.02
